Element,Arsenic,Barium,Bismuth,Bromine,Copper,Manganese,Nickel,Lead,Rubidium,Selenium,Strontium,Tungsten,Zinc
Accumulation,50,100,2.5,1000,100,1000,500,10,40,10,1000,10,1000
Hyperaccumulation,1000,1000,1000,N/A,300,10000,1000,1000,N/A,100,3000,100,3000
