element,p_value,t,difference,not_gall_total_mean,not_gall_individual_sd,not_gall_btwn_sd,not_gall_total_sd,gall_total_mean,gall_individual_sd,gall_btwn_sd,gall_total_sd
arsenic,0.87639435420639,0.16230419177235447,0.014801700000000006,0.09113045238095238,0.13258870181021296,0.12521202530059558,0.1823672534409469,0.07632875238095238,0.10623593148378287,0.16786699844496253,0.19865901012828
barium,0.4141208944209876,0.8771932393371276,112.75152857142858,148.5524,210.93484273162457,316.5408611549987,380.3835231170816,35.800871428571426,38.53000263768358,77.14423095411193,86.2310470350515
bromine,0.7083073514336043,-0.39242229762010095,-3.5146499999999987,17.07722619047619,25.472454530107875,12.07453099887381,28.18936392739605,20.59187619047619,21.642939963074944,15.183964151476388,26.438033542580026
calcium,0.28958791320732374,1.1614042403449945,419.5210952380952,1148.8717142857142,1684.8902151992156,876.7296864376881,1899.3446186395943,729.350619047619,832.3053861316497,249.1665452610205,868.8016016681062
cerium,NA,NA,0,0,0,0,0,0,0,0,0
chlorine,0.016462049241295455,-3.2973560752957245,-421.49535714285713,93.79864285714285,145.89956383363486,69.36585923534481,161.5496987131284,515.294,571.0588865959828,352.8323077160473,671.2666305786956
chromium,0.5221593840965999,0.6794967026379406,0.5439135238095237,1.128398,1.6360251873695584,1.4230944725267356,2.1683579712408525,0.5844844761904762,0.9234487441278423,1.089929499181974,1.4285320774201598
copper,0.08920631480264914,-2.0255955723319308,-1.2112152380952381,3.719737619047619,5.652993943971778,1.5206532210198407,5.8539496708785945,4.930952857142858,5.776290611390374,1.0834092704679275,5.877015303244703
dysprosium,0.40474262110866754,-0.8960443472297924,-0.6989428571428572,1.7201780952380952,2.5846520329745846,1.0036284346081974,2.7726695018183745,2.4191209523809523,2.964051887204659,1.4353054177937237,3.2932818331247504
gadolinium,0.3559176837495821,-1,-0.17548714285714287,0,0,0,0,0.17548714285714287,0.3039526475036692,0.46429533828926484,0.5549390715039199
iron,0.7367665817336241,-0.35214721283940753,-3.0838226190476195,30.997272619047617,45.88088514456788,34.32307743634265,57.2985974204448,34.08109523809524,40.85037389091576,31.171562344860266,51.38501090830985
lead,0.5801408116209852,-0.5845643300563322,-0.07482533333333334,0.0669712380952381,0.1159975870267447,0.11924981244720313,0.1663609267968904,0.14179657142857144,0.20053063441229105,0.27984430849543057,0.3442751404546684
manganese,0.10104355147064166,-1.9356925268022318,-3.680482857142857,2.714490714285714,4.181673397937806,1.893057660270092,4.590213471302614,6.394973571428571,7.157377693777273,4.4613104819602665,8.43394016268962
mercury,0.4140760353705643,-0.8772826426365722,-0.17701489857142852,0.5725175238095238,0.9541199677804809,0.9296784324251258,1.332158737025684,0.7495324223809523,0.8650096010982422,0.8235406326253676,1.1943453368172585
nickel,0.5417088415140576,-0.6467829495627487,-0.10480826190476189,0.2578587142857143,0.3646672909189461,0.32969127298363754,0.4916081453228116,0.36266697619047616,0.515738569798019,0.33965362495552714,0.6175361182333678
nitrogen,0.060555344198552845,-2.30653869003256,-95544.78571428571,247555.64285714287,376518.53938497,50772.220878447835,379926.3466956735,343100.4285714286,390295.172455381,59967.62258748443,394875.21750645555
phosphorus,NA,NA,0,0,0,0,0,0,0,0,0
potassium,0.0050586056677054785,-4.306159358961112,-1161.267523809524,511.9131904761905,766.1646039698769,215.25650764902318,795.8288537503352,1673.1807142857142,1959.0706064107299,677.4849782439195,2072.9070255678785
praseodymium,NA,NA,0,0,0,0,0,0,0,0,0
rubidium,0.03385187564181786,-2.737406521179677,-2.1727432857142857,1.1139231428571428,1.6209762704079458,1.3395518144352645,2.102846435853665,3.286666428571429,4.24703224438365,1.8186484840337274,4.620039522916725
samarium,0.35591768374958216,0.9999999999999999,0.2497407142857143,0.2497407142857143,0.3531867052196013,0.660751822247636,0.749222142857143,0,0,0,0
selenium,0.3559176837495821,-1,-0.008881142857142857,0,0,0,0,0.008881142857142857,0.015382590657848852,0.02349729535803764,0.02808463965390683
sppdp_z_l,NA,NA,0,0,0,0,0,0,0,0,0
strontium,0.9270123750221235,0.09551974986056631,0.7526904761904765,20.058857142857143,30.11471364035911,18.46663831670973,35.3258079647303,19.306166666666666,23.825112454040532,11.675807110911164,26.532253110862655
sulfur,0.07341126669088074,-2.166542132906185,-20.420902142857145,8.150190476190476,14.116543996125886,21.56337713780709,25.773165268974225,28.57109261904762,44.47077834986638,41.409182995179584,60.764879357826544
titanium,0.4051173620398898,0.8952848042457382,304.19934333333333,398.3660476190476,565.6643547381282,826.0662737395437,1001.1801290633158,94.16670428571427,90.90947438272501,219.09314387930746,237.20526601966966
tungsten,0.17245185992176174,-1.5485846501980198,-0.03597552380952381,0,0,0,0,0.03597552380952381,0.062311435066999085,0.06146405317469208,0.08752453811800562
yttrium,0.30648511988009086,1.1175867902046068,0.6709535714285715,0.8320442857142857,1.1766883133521773,1.4242962081042827,1.8474888565833976,0.16109071428571428,0.22781667291522642,0.42620596852175996,0.4832721428571429
zinc,0.03894950460813166,-2.632108951679014,-5.820390476190476,7.925916666666667,12.116335422569776,3.164732202247837,12.52282372247424,13.746307142857143,16.014521787381856,6.139023447825372,17.150875108036843
